Title,Geography,Industry,Profession,Tickers
Financials Chinese HK listed,Hong Kong,"Financials, Sovereigns & Public Finance","Asset Management, Debt, Equities, Investment Banking", HKG:1288 HKG:3988 HKG:2628 HKG:3328 HKG:3968 HKG:2601 HKG:0998 HKG:0939
Financials Taiwan,Taiwan,"Financials, Sovereigns & Public Finance","Asset Management, Debt, Equities, Investment Banking", TPE:2881 TPE:2886 TPE:2880 TPE:5871 TPE:2847 TPE:9940 TPE:01001T TPE:2852 TPE:2809
Top 25 Belgium,"Belgium, France, Germany, Italy, Netherlands, Portugal","All Sectors, Basic Materials, Consumer Goods, Consumer Services, Financials, Health Care, Industrials, Oil & Gas, Sovereigns & Public Finance, Technology, Utilities","Asset Management, Debt, Equities, Investment Banking", EBR:ABI EBR:BELG EBR:UCB EBR:SOLB EBR:UMI EBR:SOF EBR:MOBB EBR:TUB EBR:GIMV EBR:BNB EBR:BEFB EBR:THR EBR:BREB EBR:HENX EBR:TESB EBR:SIP EBR:BAR EBR:NYR EBR:MLXS EBR:EVS EBR:KIN EBR:RCUS EBR:DEXB EBR:AED EBR:RHJI
Financials Belgium,Belgium,"Financials, Sovereigns & Public Finance","Asset Management, Debt, Equities, Investment Banking", EBR:SOF EBR:GIMV EBR:BNB EBR:BEFB EBR:BREB EBR:DEXB EBR:AED EBR:RHJI EBR:ACKB
Top 25 Health Care,"Australia, Belgium, Canada, France, Germany, Hong Kong, India, Italy, Japan, Netherlands, New Zealand, Portugal, Taiwan, United Kingdom, United States ",Health Care,"Asset Management, Debt, Equities, Investment Banking", NYSE:PFE LON:GSK NYSE:ABT EPA:SAN NASDAQ:AMGN NYSE:BMY LON:AZN NYSE:UNH NASDAQ:ESRX NASDAQ:GILD NYSE:MDT NASDAQ:BIIB NYSE:BAX NASDAQ:CELG NYSE:MHS NYSE:AGN NYSE:COV ASX:CSL NYSE:WLP NYSE:SYK NASDAQ:ISRG NYSE:TMO NASDAQ:ALXN EPA:EI LON:SHP
Health Care United States,United States,Health Care,"Asset Management, Debt, Equities, Investment Banking", NYSE:PFE NYSE:ABT NASDAQ:AMGN NYSE:BMY NYSE:UNH NASDAQ:ESRX NASDAQ:GILD NYSE:MDT NASDAQ:BIIB NYSE:BAX NASDAQ:CELG NYSE:MHS NYSE:AGN NYSE:COV NYSE:WLP NYSE:SYK NASDAQ:ISRG NYSE:TMO NASDAQ:ALXN NYSE:BDX NYSE:AET NYSE:CI NYSE:HUM NYSE:HCA NYSE:STJ NYSE:EW N
Top 25 Netherlands,"Belgium, France, Germany, Italy, Netherlands, Portugal","All Sectors, Basic Materials, Consumer Goods, Consumer Services, Financials, Health Care, Industrials, Oil & Gas, Sovereigns & Public Finance, Technology, Utilities","Asset Management, Debt, Equities, Investment Banking", AMS:HEIN AMS:AKZA AMS:AGN AMS:DSM AMS:TNTE AMS:FUR AMS:WKL EBR:AGS ETR:QIA AMS:CORA AMS:NUTR AMS:ASM AMS:IM AMS:DL AMS:SBMO AMS:AALB AMS:PNL AMS:ARCAD AMS:ECMPA AMS:WHA AMS:CSMNc AMS:VASTN AMS:MEDIQ AMS:USG AMS:BINCK
Health Care Netherlands,Netherlands,Health Care,"Asset Management, Debt, Equities, Investment Banking", ETR:QIA
Health Care Taiwan,Taiwan,Health Care,"Asset Management, Debt, Equities, Investment Banking", TPE:4108 TPE:1789
Health Care Belgium,Belgium,Health Care,"Asset Management, Debt, Equities, Investment Banking", EBR:UCB EBR:TUB EBR:THR EBR:RCUS EBR:GLPG
Health Care India,India,Health Care,"Asset Management, Debt, Equities, Investment Banking", NSE:SUNPHARMA NSE:CIPLA NSE:LUPIN NSE:WOCKPHARMA NSE:BIOCON NSE:OPTOCIRCUI BOM:500672 NSE:WYETH NSE:FDC NSE:STERLINBIO
Health Care United Kingdom,United Kingdom,Health Care,"Asset Management, Debt, Equities, Investment Banking", LON:GSK LON:AZN LON:SHP LON:BGC LON:HIK LON:SN
Health Care Australia,"Australia, New Zealand",Health Care,"Asset Management, Debt, Equities, Investment Banking", ASX:CSL ASX:SHL ASX:RHC ASX:COH ASX:ANN ASX:MSB ASX:PRY ASX:NHF ASX:ACR ASX:PXS
Consumer Goods Netherlands,Netherlands,Consumer Goods,"Asset Management, Debt, Equities, Investment Banking", AMS:HEIN AMS:NUTR AMS:CSMNc
Consumer Goods Belgium,Belgium,Consumer Goods,"Asset Management, Debt, Equities, Investment Banking", EBR:ABI EBR:HENX EBR:SIP
Top Companies Luxembourg,"Belgium, France, Germany, Italy, Netherlands, Portugal","All Sectors, Basic Materials, Consumer Goods, Consumer Services, Financials, Health Care, Industrials, Oil & Gas, Sovereigns & Public Finance, Technology, Utilities","Asset Management, Debt, Equities, Investment Banking", AMS:MT EPA:SESG AMS:PEPR AMS:APAM
Consumer Services Canada,Canada,Consumer Services,"Asset Management, Debt, Equities, Investment Banking", TSE:TRI TSE:SC TSE:SJR.B TSE:ATD.B TSE:THI TSE:MRU TSE:DOL TSE:ACM.A TSE:CGX NYSE:IMAX TSE:RON TSE:NWC TSE:PKI TSE:SPB
Consumer Services Germany,Germany,Consumer Services,"Asset Management, Debt, Equities, Investment Banking", ETR:SPR ETR:PSM ETR:FIE ETR:CLS1 ETR:SKYD ETR:GFK ETR:TUI1
Industrials Hong Kong,Hong Kong,Industrials,"Asset Management, Debt, Equities, Investment Banking", HKG:0013 HKG:0291 HKG:0659 HKG:0267 HKG:1199 HKG:0316 HKG:1882 HKG:3808 HKG:0368 HKG:2343 HKG:3339 HKG:2789 HKG:0743 HKG:0976 HKG:0983 HKG:2300 HKG:0190 HKG:3393 HKG:0569 HKG:3300
Industrials Taiwan,Taiwan,Industrials,"Asset Management, Debt, Equities, Investment Banking", TPE:2317 TPE:2308 TPE:3673 TPE:2603 TPE:9933 TPE:1605 TPE:9917 TPE:2360 TPE:8422 TPE:2384 TPE:3149 TPE:2327 TPE:3042 TPE:3376 TPE:3504 TPE:9930 TPE:2349 TPE:6213 TPE:8072 TPE:6282 TPE:1103 TPE:3019 TPE:4306 TPE:1104 TPE:1535 TPE:6120 TPE:1110 TPE:3533 TP
Industrials India,India,Industrials,"Asset Management, Debt, Equities, Investment Banking", NSE:TATAMOTORS NSE:BHEL NSE:ULTRACEMCO NSE:ASIANPAINT NSE:ACC NSE:SIEMENS NSE:ABB NSE:SHREECEM NSE:CROMPGREAV NSE:BHARATFORG NSE:THERMAX NSE:ASHOKLEY NSE:EICHERMOT NSE:3MINDIA NSE:MADRASCEM NSE:SKFINDIA NSE:SUPREMEIND NSE:PRISMCEM NSE:INDIACEM NSE:SADBHA
Industrials Japan,Japan,Industrials,"Asset Management, Debt, Equities, Investment Banking", TYO:9793
Industrials New Zealand,"Australia, New Zealand",Industrials,"Asset Management, Debt, Equities, Investment Banking", NZE:FBU NZE:AIA NZE:POT NZE:IFT NZE:MFT NZE:FRE NZE:SKL NZE:HBY
Industrials Australia,"Australia, New Zealand",Industrials,"Asset Management, Debt, Equities, Investment Banking", ASX:BXB ASX:AMC ASX:TCL ASX:QRN ASX:SYD ASX:LEI ASX:AIO ASX:TOL ASX:BLD ASX:SEK ASX:UGL ASX:MND ASX:AIX ASX:BKW ASX:QUB ASX:DOW ASX:DLX ASX:CDD ASX:ASL ASX:TSE ASX:SAI ASX:NWH ASX:BKN ASX:SPT ASX:SLX ASX:CAB ASX:MQA ASX:CSR ASX:GWA ASX:EHL ASX:IDL ASX:SL
Industrials Germany,Germany,Industrials,"Asset Management, Debt, Equities, Investment Banking", ETR:DPW ETR:MAN ETR:TKA ETR:HEI ETR:FRA ETR:HOT ETR:RAA ETR:WDI ETR:HHFA ETR:EVD ETR:KRN ETR:LEO ETR:VOS ETR:PFV ETR:GIL ETR:HDD ETR:KBC
Industrials Chinese HK listed,Hong Kong,Industrials,"Asset Management, Debt, Equities, Investment Banking", HKG:2009 HKG:0038
Industrials Netherlands,Netherlands,Industrials,"Asset Management, Debt, Equities, Investment Banking", AMS:TNTE AMS:IM AMS:AALB AMS:PNL AMS:ARCAD AMS:USG
Consumer Goods Australia,"Australia, New Zealand",Consumer Goods,"Asset Management, Debt, Equities, Investment Banking", ASX:CCL ASX:CPB ASX:TWE ASX:GNC ASX:GFF ASX:BBG ASX:GUD ASX:BKL ASX:PBG ASX:AAC ASX:RIC
Basic Materials United Kingdom,United Kingdom,Basic Materials,"Asset Management, Debt, Equities, Investment Banking", LON:AAL LON:XTA LON:GLEN LON:ANTO LON:FRES LON:RRS LON:ENRC LON:JMAT LON:KAZ LON:CRDA LON:EVR LON:VED LON:HOC LON:ABG LON:LMI LON:FXPO LON:VCT LON:ELM LON:NWR LON:POG
Basic Materials Chinese HK listed,Hong Kong,Basic Materials,"Asset Management, Debt, Equities, Investment Banking", HKG:1088 HKG:1898 HKG:3993
Basic Materials Canada,Canada,Basic Materials,"Asset Management, Debt, Equities, Investment Banking", TSE:ABX TSE:G TSE:TCK.B TSE:AGU TSE:YRI TSE:SLW TSE:K TSE:CCO TSE:FM TSE:ELD TSE:AEM TSE:IVN TSE:NGD TSE:IMG TSE:OSK TSE:MX TSE:IMN TSE:UUU TSE:WFT TSE:THO NYSE:AUQ TSE:AGI TSE:FR TSE:ASR TSE:CG TSE:NG TSE:RUS TSE:HBM TSE:PVG TSE:MFL TSE:BTO TSE:NEM TSE:
Basic Materials India,India,Basic Materials,"Asset Management, Debt, Equities, Investment Banking", NSE:NMDC NSE:HINDZINC NSE:TATASTEEL NSE:SAIL NSE:STER NSE:SESAGOA NSE:JSWSTEEL NSE:CASTROL NSE:BHUSANSTL NSE:TATACHEM NSE:UNIPHOS NSE:MOIL NSE:JINDALSAW NSE:JSWISPAT NSE:BASF NSE:RALLIS NSE:COAL NSE:GRAPHITE NSE:SRF NSE:MONSANTO NSE:JAICORPLTD NSE:GUJNRE
Basic Materials New Zealand,"Australia, New Zealand",Basic Materials,"Asset Management, Debt, Equities, Investment Banking", NZE:NPX
Basic Materials Taiwan,Taiwan,Basic Materials,"Asset Management, Debt, Equities, Investment Banking", TPE:1301 TPE:1303 TPE:2002 TPE:2103 TPE:1304 TPE:1308 TPE:1714 TPE:1904 TPE:2014 TPE:1903 TPE:2108 TPE:2010 TPE:1708 TPE:1905 TPE:1909 TPE:2031 TPE:1712 TPE:2030 TPE:1326
Basic Materials Germany,Germany,Basic Materials,"Asset Management, Debt, Equities, Investment Banking", ETR:BAYN ETR:LIN ETR:BNR ETR:LXS ETR:SY1 ETR:FPE ETR:WCH ETR:NDA ETR:SZG
Basic Materials France,France,Basic Materials,"Asset Management, Debt, Equities, Investment Banking", EPA:AI EPA:AKE EPA:NK EPA:ERA
Top 25 Technology,"Australia, Belgium, Canada, France, Germany, Hong Kong, India, Italy, Japan, Netherlands, New Zealand, Portugal, Taiwan, United Kingdom, United States ",Technology,"Asset Management, Debt, Equities, Investment Banking", NASDAQ:AAPL NASDAQ:MSFT NASDAQ:GOOG NASDAQ:ORCL NASDAQ:INTC NASDAQ:QCOM NASDAQ:CSCO ETR:SAP HKG:0700 NYSE:EMC NYSE:VMW NYSE:HPQ NASDAQ:TXN NASDAQ:DELL NASDAQ:YHOO NYSE:GLW NYSE:CRM NASDAQ:BRCM NASDAQ:CTSH NASDAQ:INTU NSE:WIPRO NASDAQ:ADBE NASDAQ:CTXS NAS
Technology Taiwan,Taiwan,Technology,"Asset Management, Debt, Equities, Investment Banking", TPE:2382 TPE:2454 TPE:2498 TPE:2357 TPE:2303 TPE:2324 TPE:2347 TPE:3697 TPE:2409 TPE:4938 TPE:3231 TPE:2353 TPE:3481 TPE:2395 TPE:2448 TPE:6239 TPE:2356 TPE:8008 TPE:2362 TPE:6285 TPE:2315 TPE:2323 TPE:2352 TPE:2373 TPE:2371 TPE:3515 TPE:2332 TPE:3030 TP
Technology United States,United States,Technology,"Asset Management, Debt, Equities, Investment Banking", NASDAQ:AAPL NASDAQ:MSFT NASDAQ:GOOG NASDAQ:ORCL NASDAQ:INTC NASDAQ:QCOM NASDAQ:CSCO NYSE:EMC NYSE:VMW NYSE:HPQ NASDAQ:TXN NASDAQ:DELL NASDAQ:YHOO NYSE:GLW NYSE:CRM NASDAQ:BRCM NASDAQ:CTSH NASDAQ:INTU NASDAQ:ADBE NASDAQ:CTXS NASDAQ:AMAT NYSE:MSI NASDAQ:CE
Technology Japan,Japan,Technology,"Asset Management, Debt, Equities, Investment Banking", TYO:6756
Technology India,India,Technology,"Asset Management, Debt, Equities, Investment Banking", NSE:WIPRO NSE:HCLTECH NSE:MINT NSE:TECHM NSE:MPHASIS NSE:CMC NSE:REDINGTON NSE:ECLERX NSE:NIITTECH NSE:ROLTA NSE:HCL-INSYS NSE:ONMOBILE NSE:INFY
Technology Hong Kong,Hong Kong,Technology,"Asset Management, Debt, Equities, Investment Banking", HKG:0700 HKG:0992 HKG:0522 HKG:0303 HKG:2038 HKG:0903 HKG:0285 HKG:0543 HKG:0354 HKG:2383 HKG:0818 HKG:0082 HKG:0241
Technology France,France,Technology,"Asset Management, Debt, Equities, Investment Banking", EPA:ILD EPA:CAP EPA:ATO EPA:ALU EPA:ING EPA:NEO EPA:ATE EPA:ALT EPA:SOI
Technology Germany,Germany,Technology,"Asset Management, Debt, Equities, Investment Banking", ETR:SAP ETR:UTDI ETR:SOW ETR:WIN ETR:IFXN
Technology United Kingdom,United Kingdom,Technology,"Asset Management, Debt, Equities, Investment Banking", LON:ISYS LON:LOG LON:MSY LON:SPT LON:MCRO LON:SDL LON:LRD LON:PIC
Utilities France,France,Utilities,"Asset Management, Debt, Equities, Investment Banking", EPA:GSZ EPA:EDF EPA:AREVA EPA:VIE EPA:SEV EPA:RUI
Utilities United States,United States,Utilities,"Asset Management, Debt, Equities, Investment Banking", NYSE:SO NYSE:EXC NYSE:D NYSE:DUK NYSE:NEE NYSE:FE NYSE:SE NYSE:ED NYSE:PGN NYSE:PPL NYSE:SRE NYSE:EIX NYSE:XEL NYSE:ETR NYSE:NU NYSE:DTE NYSE:WEC NYSE:AES NYSE:OKE NYSE:CNP NYSE:CPN NYSE:AEE NYSE:NI NYSE:AWK NYSE:CMS NYSE:SCG NYSE:PNW NYSE:LNT NYSE:NST N
Utilities Japan,Japan,Utilities,"Asset Management, Debt, Equities, Investment Banking", TYO:9532
Utilities Australia,"Australia, New Zealand",Utilities,"Asset Management, Debt, Equities, Investment Banking", ASX:ORG ASX:AGK ASX:SPN ASX:ENV
Utilities Italy,Italy,Utilities,"Asset Management, Debt, Equities, Investment Banking", BIT:ENEI
Industrials Italy,Italy,Industrials,"Asset Management, Debt, Equities, Investment Banking", BIT:COF
Financials New Zealand,"Australia, New Zealand","Financials, Sovereigns & Public Finance","Asset Management, Debt, Equities, Investment Banking", NZE:GMT NZE:ANO NZE:ARG NZE:TWR NZE:NZX NZE:PFI
Consumer Services Netherlands,Netherlands,Consumer Services,"Asset Management, Debt, Equities, Investment Banking", AMS:WKL AMS:MEDIQ
Industrials Belgium,Belgium,Industrials,"Asset Management, Debt, Equities, Investment Banking", EBR:BAR EBR:EVS EBR:AGFB
Top 25 Oil & Gas,"Australia, Belgium, Canada, France, Germany, Hong Kong, India, Italy, Japan, Netherlands, New Zealand, Portugal, Taiwan, United Kingdom, United States ",Oil & Gas,"Asset Management, Debt, Equities, Investment Banking", NYSE:XOM NYSE:CVX LON:BP EPA:FP NYSE:SLB HKG:0883 NYSE:COP NYSE:OXY BIT:ENI TSE:SU TSE:IMO NYSE:APC NYSE:APA TSE:ENB TSE:TRP TSE:CNQ NYSE:HAL NYSE:NOV NYSE:KMI ASX:WPL TPE:6505 NYSE:EOG TSE:CVE TSE:HSE NYSE:DVN
Oil & Gas Australia,"Australia, New Zealand",Oil & Gas,"Asset Management, Debt, Equities, Investment Banking", ASX:WPL ASX:STO ASX:OSH ASX:WOR ASX:CTX ASX:APA ASX:BPT ASX:BLY ASX:KAR ASX:AWE ASX:SXY ASX:MIO ASX:IMD ASX:HZN ASX:LNC ASX:NXS ASX:AUT
Oil & Gas Canada,Canada,Oil & Gas,"Asset Management, Debt, Equities, Investment Banking", TSE:SU TSE:IMO TSE:ENB TSE:TRP TSE:CNQ TSE:CVE TSE:HSE TSE:ECA TSE:NXY TSE:CPG TSE:TLM TSE:COS TSE:MEG TSE:ARX TSE:PRE TSE:PWT TSE:BTE TSE:VET TSE:TOU NYSE:IOC TSE:KEY NYSE:PVX TSE:BNP NYSE:ERF TSE:ALA TSE:VSN NYSE:PGH TSE:GEI NYSE:PDS TSE:FRU TSE:FES TS
Oil & Gas United States,United States,Oil & Gas,"Asset Management, Debt, Equities, Investment Banking", NYSE:XOM NYSE:CVX NYSE:SLB NYSE:COP NYSE:OXY NYSE:APC NYSE:APA NYSE:HAL NYSE:NOV NYSE:KMI NYSE:EOG NYSE:DVN NYSE:EP NYSE:BHI NYSE:MRO NYSE:RIG NYSE:MPC NYSE:HES NYSE:NBL NYSE:VLO NYSE:CLR NYSE:SWN NYSE:CHK NYSE:CAM NYSE:PXD NYSE:MUR NYSE:RRC NYSE:WFT NYS
Oil & Gas United Kingdom,United Kingdom,Oil & Gas,"Asset Management, Debt, Equities, Investment Banking", LON:BP LON:TLW LON:PFC LON:AMEC LON:PMO LON:CNE LON:ESSR LON:AFR LON:HTG LON:ENQ LON:SMDR
Oil & Gas India,India,Oil & Gas,"Asset Management, Debt, Equities, Investment Banking", NSE:IOC NSE:CAIRN NSE:GAIL NSE:OIL NSE:ESSAROIL NSE:SUZLON NSE:ABAN NSE:RELIANCE
Oil & Gas Hong Kong,Hong Kong,Oil & Gas,"Asset Management, Debt, Equities, Investment Banking", HKG:0883 HKG:0384 HKG:0467 HKG:1555 HKG:2468
Oil & Gas Japan,Japan,Oil & Gas,"Asset Management, Debt, Equities, Investment Banking", TYO:6269
Oil & Gas Taiwan,Taiwan,Oil & Gas,"Asset Management, Debt, Equities, Investment Banking", TPE:6505 TPE:3576 TPE:3561
Consumer Goods New Zealand,"Australia, New Zealand",Consumer Goods,"Asset Management, Debt, Equities, Investment Banking", NZE:SAN
Top 25 Telecommunications,"Australia, Belgium, Canada, France, Germany, Hong Kong, India, Italy, Japan, Netherlands, New Zealand, Portugal, Taiwan, United Kingdom, United States ",Telecommunications,"Asset Management, Debt, Equities, Investment Banking", LON:CWP NYSE:VZ ETR:DTE HKG:0728 HKG:0762 EPA:FTE TSE:BCE NYSE:CTL TPE:2412 TSE:T BIT:TIT NYSE:S EBR:BELG TPE:3045 NASDAQ:VMED TPE:4904 NASDAQ:SBAC NASDAQ:WIN TSE:BA NSE:IDEA NASDAQ:FTR LON:ISAT HKG:0008 ETR:FNTN EBR:MOBB
Telecommunications Canada,Canada,Telecommunications,"Asset Management, Debt, Equities, Investment Banking", TSE:BCE TSE:T TSE:BA
Telecommunications United States,United States,Telecommunications,"Asset Management, Debt, Equities, Investment Banking", NYSE:VZ NYSE:CTL NYSE:S NASDAQ:VMED NASDAQ:SBAC NASDAQ:WIN NASDAQ:FTR NASDAQ:NIHD NYSE:ABVT
Telecommunications United Kingdom,United Kingdom,Telecommunications,"Asset Management, Debt, Equities, Investment Banking", LON:CWP LON:ISAT
Telecommunications Belgium,Belgium,Telecommunications,"Asset Management, Debt, Equities, Investment Banking", EBR:BELG EBR:MOBB
Telecommunications Chinese HK listed,Hong Kong,Telecommunications,"Asset Management, Debt, Equities, Investment Banking", HKG:0728
Telecommunications New Zealand,"Australia, New Zealand",Telecommunications,"Asset Management, Debt, Equities, Investment Banking", NZE:CNU NZE:TEL
Telecommunications Taiwan,Taiwan,Telecommunications,"Asset Management, Debt, Equities, Investment Banking", TPE:2412 TPE:3045 TPE:4904
Telecommunications France,France,Telecommunications,"Asset Management, Debt, Equities, Investment Banking", EPA:FTE
Telecommunications Hong Kong,Hong Kong,Telecommunications,"Asset Management, Debt, Equities, Investment Banking", HKG:0762 HKG:0008 HKG:1137 HKG:0941
Telecommunications Italy,Italy,Telecommunications,"Asset Management, Debt, Equities, Investment Banking", BIT:TIT
Telecommunications Australia,"Australia, New Zealand",Telecommunications,"Asset Management, Debt, Equities, Investment Banking", ASX:TPM ASX:TLS
Utilities Taiwan,Taiwan,Utilities,"Asset Management, Debt, Equities, Investment Banking", TPE:9908 TPE:9926
Utilities United Kingdom,United Kingdom,Utilities,"Asset Management, Debt, Equities, Investment Banking", LON:NG LON:IPR LON:CNA LON:SVT
Health Care Japan,Japan,Health Care,"Asset Management, Debt, Equities, Investment Banking", TYO:9987
Health Care France,France,Health Care,"Asset Management, Debt, Equities, Investment Banking", EPA:SAN EPA:EI EPA:BIM EPA:ORP EPA:IPN EPA:VIRP EPA:EFR
Health Care Germany,Germany,Health Care,"Asset Management, Debt, Equities, Investment Banking", ETR:RHK ETR:MRC ETR:GXI ETR:STAN ETR:FME
Health Care Canada,Canada,Health Care,"Asset Management, Debt, Equities, Investment Banking", TSE:CLC NYSE:NDZ
Health Care New Zealand,"Australia, New Zealand",Health Care,"Asset Management, Debt, Equities, Investment Banking", NZE:RYM NZE:EBO
Financials Netherlands,Netherlands,"Financials, Sovereigns & Public Finance","Asset Management, Debt, Equities, Investment Banking", AMS:AGN EBR:AGS AMS:CORA AMS:DL AMS:ECMPA AMS:WHA AMS:VASTN AMS:BINCK AMS:PEPR
Oil & Gas Chinese HK listed,Hong Kong,Oil & Gas,"Asset Management, Debt, Equities, Investment Banking", HKG:0857
Oil & Gas Italy,Italy,Oil & Gas,"Asset Management, Debt, Equities, Investment Banking", BIT:ENI BIT:ERG
Oil & Gas France,France,Oil & Gas,"Asset Management, Debt, Equities, Investment Banking", EPA:FP EPA:TECF EPA:GA EPA:GBB
Basic Materials Italy,Italy,Basic Materials,"Asset Management, Debt, Equities, Investment Banking", BIT:TEN
Telecommunications Japan,Japan,Telecommunications,"Asset Management, Debt, Equities, Investment Banking", TYO:9435
Telecommunications Germany,Germany,Telecommunications,"Asset Management, Debt, Equities, Investment Banking", ETR:DTE ETR:FNTN
Telecommunications India,India,Telecommunications,"Asset Management, Debt, Equities, Investment Banking", NSE:IDEA NSE:BHARTIARTL
Utilities Germany,Germany,Utilities,"Asset Management, Debt, Equities, Investment Banking", ETR:EOAN ETR:RWE
Basic Materials Belgium,Belgium,Basic Materials,"Asset Management, Debt, Equities, Investment Banking", EBR:SOLB EBR:UMI EBR:TESB EBR:NYR
Oil & Gas Netherlands,Netherlands,Oil & Gas,"Asset Management, Debt, Equities, Investment Banking", AMS:FUR AMS:SBMO
Health Care Hong Kong,Hong Kong,Health Care,"Asset Management, Debt, Equities, Investment Banking", HKG:1149 HKG:1164
Health Care Chinese HK listed,Hong Kong,Health Care,"Asset Management, Debt, Equities, Investment Banking", HKG:1099
Consumer Services Belgium,Belgium,Consumer Services,"Asset Management, Debt, Equities, Investment Banking", EBR:KIN EBR:IETB
Oil & Gas Germany,Germany,Oil & Gas,"Asset Management, Debt, Equities, Investment Banking", ETR:S92 ETR:SWV
Technology Italy,Italy,Technology,"Asset Management, Debt, Equities, Investment Banking", BIT:STM
Technology Belgium,Belgium,Technology,"Asset Management, Debt, Equities, Investment Banking", EBR:MLXS
Technology Netherlands,Netherlands,Technology,"Asset Management, Debt, Equities, Investment Banking", AMS:ASM
Technology Canada,Canada,Technology,"Asset Management, Debt, Equities, Investment Banking", NASDAQ:SXCI TSE:RIM NASDAQ:OTEX TSE:CSU TSE:WIN
Basic Materials Netherlands,Netherlands,Basic Materials,"Asset Management, Debt, Equities, Investment Banking", AMS:AKZA AMS:DSM AMS:MT AMS:APAM
Financials Italy,Italy,"Financials, Sovereigns & Public Finance","Asset Management, Debt, Equities, Investment Banking", BIT:EXO
Technology Chinese HK listed,Hong Kong,Technology,"Asset Management, Debt, Equities, Investment Banking", HKG:0763
