Title,Address,Geographic,Industry,Profession
RAYMOND,RYMD.NS,India,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
LAN FA TEXTILE,1459.TW,Taiwan,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
TAIWAN PAIHO,9938.TW,Taiwan,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
ADITYA BIRLA NUVO,ABRL.NS,India,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
CARNIVAL INDUSTRIAL,1417.TW,Taiwan,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
WARNACO ,$WRC,United States,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
ZIG SHENG INDUSTRIAL,1455.TW,Taiwan,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
NIEN HSING TEXTILE,1451.TW,Taiwan,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
ONWARD ,8016.T,Japan,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
CARTERS,$CRI,United States,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
CHRISTIAN DIOR,DIOR.PA,France,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
FORMOSA TAFFETA,1434.TW,Taiwan,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
UNDER ARMOUR,$UA,United States,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
LEALEA ENTERPRISE ,1444.TW,Taiwan,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
WEIQIAO TEXTILE,2698.HK,Hong Kong,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
SANYO SHOKAI,8011.T,Japan,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
FOSSIL,$FOSL,United States,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
HERMES ,HRMS.PA,France,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
LES ENPHANTS,2911.TW,Taiwan,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
BOMBAY DYEING AND MANUFACTURING,BDYN.NS,India,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
BOMBAY RAYON FASHIONS,BRFL.NS,India,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
LI & FUNG,0494.HK,Hong Kong,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
BOSHIWA INTERNATIONAL ,1698.HK,Hong Kong,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
LI NING ,2331.HK,Hong Kong,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
BOSIDENG INTERNATIONAL ,3998.HK,Hong Kong,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
LI PENG ENTERPRISE ,1447.TW,Taiwan,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
NISSHINBO ,3105.T,Japan,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
UNITIKA,3103.T,Japan,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
PACIFIC BRANDS,PBG.AX,Australia,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
PACIFIC TEXTILES ,1382.HK,Hong Kong,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
ARVIND,ARVN.NS,India,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
DAIDOH,3205.T,Japan,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
TOYOBO,3101.T,Japan,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
COACH,$COH,United States,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
SEIKO ,8050.T,Japan,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
NAGAILEBEN,7447.T,Japan,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
SEIREN,3569.T,Japan,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
GUNZE,3002.T,Japan,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
JONES APPAREL ,$JNY,United States,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
VARDHMAN TEXTILES,VART.NS,India,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
BURBERRY ,BRBY.L,United Kingdom,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
FAR EASTERN NEW CENTURY,1402.TW,Taiwan,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
RUENTEX INDUSTRIES,2915.TW,Taiwan,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
ECLAT TEXTILE,1476.TW,Taiwan,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
TEXWINCA ,0321.HK,Hong Kong,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
XTEP INTERNATIONAL ,1368.HK,Hong Kong,Consumer Goods,"Asset Management,Debt,Equities,Investment Banking"
PEABODY ENERGY,$BTU,United States,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
ALPHA NATURAL RESOURCES,$ANR,United States,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
YANZHOU COAL MINING,1171.HK,Hong Kong,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
CONSOL ENERGY,$CNX,United States,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
NEW HOPE CORPORATION,NHC.AX,Australia,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
NEW WORLD RESOURCES,NWRR.L,United Kingdom,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
CHINA SHENHUA ENERGY,1088.HK,Hong Kong,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
SOUTHGOBI RESOURCES,SGQ.TO,Canada,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
GLOUCESTER COAL,GCL.AX,Australia,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
WALTER ENERGY,$WLT,United States,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
FUSHAN INTERNATIONAL ENERGY ,0639.HK,Hong Kong,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
MONGOLIAN MINING,0975.HK,Hong Kong,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
HIDILI INDUSTRY INTERNATIONAL ,1393.HK,Hong Kong,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
WHITE ENERGY,WEC.AX,Australia,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
WHITEHAVEN COAL,WHC.AX,Australia,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
ARCH COAL,$ACI,United States,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
WINSWAY COKING COAL ,1733.HK,Hong Kong,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
CLINE MINING,CMK.TO,Canada,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
CLOUD PEAK ENERGY,$CLD,United States,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
COAL INDIA,COAL.NS,India,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
COAL OF AFRICA,CZA.AX,Australia,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
COALSPUR MINES,CPL.AX,Australia,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
GUJARAT NRE COKE,GJNC.NS,India,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
COCKATOO COAL,COK.AX,Australia,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
PATRIOT COAL,$PCX,United States,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
CHINA COAL ENERGY,1898.HK,Hong Kong,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
DART ENERGY,DTE.AX,Australia,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
ASTON RESOURCES,AZT.AX,Australia,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
NAVISTAR INTERNATIONAL,$NAV,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking"
FIAT INDUSTRIAL SPA,FI.MI,Italy,Industrials,"Asset Management,Debt,Equities,Investment Banking"
FIAT INDUSTRIAL ,FI_p.MI,Italy,Industrials,"Asset Management,Debt,Equities,Investment Banking"
FIAT IND RSP,FIn.MI,Italy,Industrials,"Asset Management,Debt,Equities,Investment Banking"
DEERE,$DE,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking"
KUBOTA,6326.T,Japan,Industrials,"Asset Management,Debt,Equities,Investment Banking"
QINGLING MOTORS ,1122.HK,Hong Kong,Industrials,"Asset Management,Debt,Equities,Investment Banking"
EICHER MOTORS,EICH.NS,India,Industrials,"Asset Management,Debt,Equities,Investment Banking"
ABG SHIPYARD,ABGS.NS,India,Industrials,"Asset Management,Debt,Equities,Investment Banking"
BEML,BEML.NS,India,Industrials,"Asset Management,Debt,Equities,Investment Banking"
FINNING INTERNATIONAL,FTT.TO,Canada,Industrials,"Asset Management,Debt,Equities,Investment Banking"
AUSTAL,ASB.AX,Australia,Industrials,"Asset Management,Debt,Equities,Investment Banking"
CHINA RONGSHENG HEAVY INDUSTRIES ,1101.HK,Hong Kong,Industrials,"Asset Management,Debt,Equities,Investment Banking"
TADANO,6395.T,Japan,Industrials,"Asset Management,Debt,Equities,Investment Banking"
FIRST TRACTOR,0038.HK,Hong Kong,Industrials,"Asset Management,Debt,Equities,Investment Banking"
BHARAT FORGE,BFRG.NS,India,Industrials,"Asset Management,Debt,Equities,Investment Banking"
KAWASAKI HEAVY INDUSTRIES,7012.T,Japan,Industrials,"Asset Management,Debt,Equities,Investment Banking"
SHINMAYWA INDUSTRIES,7224.T,Japan,Industrials,"Asset Management,Debt,Equities,Investment Banking"
WESTINGHOUSE AIR BRAKE TECHNOLOGIES,$WAB,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking"
MAN,MANG.DE,Germany,Industrials,"Asset Management,Debt,Equities,Investment Banking"
EMECO ,EHL.AX,Australia,Industrials,"Asset Management,Debt,Equities,Investment Banking"
MANITOWOC,$MTW,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking"
ISEKI,6310.T,Japan,Industrials,"Asset Management,Debt,Equities,Investment Banking"
ISUZU MOTORS,7202.T,Japan,Industrials,"Asset Management,Debt,Equities,Investment Banking"
CATERPILLAR,$CAT,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking"
CSBC CORP,2208.TW,Taiwan,Industrials,"Asset Management,Debt,Equities,Investment Banking"
CSR CORP,1766.HK,Hong Kong,Industrials,"Asset Management,Debt,Equities,Investment Banking"
TATA MOTORS,TAMO.NS,India,Industrials,"Asset Management,Debt,Equities,Investment Banking"
ZHUZHOU CSR TIMES ELECTRIC,3898.HK,Hong Kong,Industrials,"Asset Management,Debt,Equities,Investment Banking"
NIPPON SHARYO,7102.T,Japan,Industrials,"Asset Management,Debt,Equities,Investment Banking"
AG GROWTH INTERNATIONAL,AFN.TO,Canada,Industrials,"Asset Management,Debt,Equities,Investment Banking"
AGCO,$AGCO,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking"
CUMMINS,$CMI,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking"
SASEBO HEAVY INDUSTRIES,7007.T,Japan,Industrials,"Asset Management,Debt,Equities,Investment Banking"
OSHKOSH,$OSK,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking"
ESCORTS,ESCO.NS,India,Industrials,"Asset Management,Debt,Equities,Investment Banking"
GREAVES COTTON,GRVL.BO,India,Industrials,"Asset Management,Debt,Equities,Investment Banking"
WESTPORT INNOVATIONS,$WPRT,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking"
TORO,$TTC,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking"
TOROMONT INDUSTRIES,TIH.TO,Canada,Industrials,"Asset Management,Debt,Equities,Investment Banking"
HINO MOTORS,7205.T,Japan,Industrials,"Asset Management,Debt,Equities,Investment Banking"
PACCAR,$PCAR,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking"
HITACHI CONSTRUCTION MACHINERY,6305.T,Japan,Industrials,"Asset Management,Debt,Equities,Investment Banking"
RITCHIE BROS. AUCTIONEERS,$RBA,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking"
SINOTRUK,3808.HK,Hong Kong,Industrials,"Asset Management,Debt,Equities,Investment Banking"
FURUKAWA,5715.T,Japan,Industrials,"Asset Management,Debt,Equities,Investment Banking"
KOMATSU,6301.T,Japan,Industrials,"Asset Management,Debt,Equities,Investment Banking"
GUANGZHOU SHIPYARD INTERNATIONAL,0317.HK,Hong Kong,Industrials,"Asset Management,Debt,Equities,Investment Banking"
ASHOK LEYLAND,ASOK.NS,India,Industrials,"Asset Management,Debt,Equities,Investment Banking"
LONKING ,3339.HK,Hong Kong,Industrials,"Asset Management,Debt,Equities,Investment Banking"
TEREX,$TEX,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking"
MERITOR,$MTOR,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking"
JOY GLOBAL,$JOY,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking"
GATX,$GMT,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking"
TRINITY INDUSTRIES,$TRN,United States,Industrials,"Asset Management,Debt,Equities,Investment Banking"
NUPLEX INDUSTRIES,NPX.NZ,New Zealand,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
CHINA LUMENA NEW MATERIALS,0067.HK,Hong Kong,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
CHINA MAN MADE FIBER,1718.TW,Taiwan,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
TSRC,2103.TW,Taiwan,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
OCEAN PLASTICS,1321.TW,Taiwan,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
KURARAY ,3405.T,Japan,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
CHINA PETROCHEMICAL DEVELOPMENT,1314.TW,Taiwan,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
MINERALS TECHNOLOGIES,$MTX,United States,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
TAIWAN PROSPERITY CHEMICAL,4725.TW,Taiwan,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
HUNTSMAN,$HUN,United States,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
CHINA SANJIANG FINE CHEMICALS,2198.HK,Hong Kong,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
TAIWAN STYRENE MONOMER,1310.TW,Taiwan,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
CHINA SYNTHETIC RUBBER,2104.TW,Taiwan,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
OLIN,$OLN,United States,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
UBE INDUSTRIES,4208.T,Japan,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
ADEKA,4401.T,Japan,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
BILLION INDUSTRIAL ,2299.HK,Hong Kong,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
LANXESS,LXSG.DE,Germany,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
MITSUI CHEMICALS,4183.T,Japan,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
SRF,SRFL.NS,India,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
SHOWA DENKO,4004.T,Japan,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
TOKAI CARBON,5301.T,Japan,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
FORMOSA CHEMICALS & FIBRE,1326.TW,Taiwan,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
FORMOSA PLASTICS,1301.TW,Taiwan,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
FORMOSAN RUBBER ,2107.TW,Taiwan,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
ORIENTAL UNION CHEMICAL,1710.TW,Taiwan,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
GRAND PACIFIC PETROCHEMICAL,1312.TW,Taiwan,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
CELANESE,$CE,United States,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
NIPPON SODA,4041.T,Japan,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
POLYONE,$POL,United States,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
TORAY INDUSTRIES,3402.T,Japan,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
DOW CHEMICAL,$DOW,United States,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
TOSOH,4042.T,Japan,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
AIR LIQUIDE,AIRP.PA,France,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
AIR PRODUCTS & CHEMICALS,$APD,United States,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
TEIJIN,3401.T,Japan,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
SCHULMAN A,$SHLM,United States,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
AIRGAS,$ARG,United States,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
ARKEMA,AKE.PA,France,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
SINOPEC SHANGHAI PETROCHEMICAL ,0338.HK,Hong Kong,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
SINOPEC YIZHENG CHEMICAL FIBRE,1033.HK,Hong Kong,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
PRAXAIR,$PX,United States,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
LINDE,LING.DE,Germany,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
ASAHI KASEI,3407.T,Japan,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
CHEMTURA,$CHMT,United States,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
DU PONT DE NEMOURS ,$DD,United States,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
DAISO,4046.T,Japan,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
BASF,BASFn.DE,Germany,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
EASTMAN CHEMICAL,$EMN,United States,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
NAN YA PLASTICS,1303.TW,Taiwan,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
NANTEX INDUSTRY,2108.TW,Taiwan,Basic Materials,"Asset Management,Debt,Equities,Investment Banking"
INSIGHT ENTERPRISES,$NSIT,United States,Technology,"Asset Management,Debt,Equities,Investment Banking"
ASUSTEK COMPUTER,2357.TW,Taiwan,Technology,"Asset Management,Debt,Equities,Investment Banking"
PEGATRON,4938.TW,Taiwan,Technology,"Asset Management,Debt,Equities,Investment Banking"
ATEN INTERNATIONAL,6277.TW,Taiwan,Technology,"Asset Management,Debt,Equities,Investment Banking"
NCR,$NCR,United States,Technology,"Asset Management,Debt,Equities,Investment Banking"
COMPAL ELECTRONICS,2324.TW,Taiwan,Technology,"Asset Management,Debt,Equities,Investment Banking"
NEC,6701.T,Japan,Technology,"Asset Management,Debt,Equities,Investment Banking"
MICROS SYSTEMS,$MCRS,United States,Technology,"Asset Management,Debt,Equities,Investment Banking"
QISDA,2352.TW,Taiwan,Technology,"Asset Management,Debt,Equities,Investment Banking"
DELL,$DELL,United States,Technology,"Asset Management,Debt,Equities,Investment Banking"
SYNAPTICS,$SYNA,United States,Technology,"Asset Management,Debt,Equities,Investment Banking"
QUANTA COMPUTER,2382.TW,Taiwan,Technology,"Asset Management,Debt,Equities,Investment Banking"
SYNNEX,2347.TW,Taiwan,Technology,"Asset Management,Debt,Equities,Investment Banking"
EIZO NANAO,6737.T,Japan,Technology,"Asset Management,Debt,Equities,Investment Banking"
NETAPP,$NTAP,United States,Technology,"Asset Management,Debt,Equities,Investment Banking"
GETAC TECHNOLOGY,3005.TW,Taiwan,Technology,"Asset Management,Debt,Equities,Investment Banking"
AU OPTRONICS,2409.TW,Taiwan,Technology,"Asset Management,Debt,Equities,Investment Banking"
MIN AIK TECHNOLOGY,3060.TW,Taiwan,Technology,"Asset Management,Debt,Equities,Investment Banking"
HANNSTAR DISPLAY,6116.TW,Taiwan,Technology,"Asset Management,Debt,Equities,Investment Banking"
KYE SYSTEMS,2365.TW,Taiwan,Technology,"Asset Management,Debt,Equities,Investment Banking"
ACER,2353.TW,Taiwan,Technology,"Asset Management,Debt,Equities,Investment Banking"
INVENTEC,2356.TW,Taiwan,Technology,"Asset Management,Debt,Equities,Investment Banking"
OKI ELECTRIC INDUSTRY,6703.T,Japan,Technology,"Asset Management,Debt,Equities,Investment Banking"
ELITEGROUP COMPUTER SYSTEMS,2331.TW,Taiwan,Technology,"Asset Management,Debt,Equities,Investment Banking"
MITAC,2315.TW,Taiwan,Technology,"Asset Management,Debt,Equities,Investment Banking"
EMC,$EMC,United States,Technology,"Asset Management,Debt,Equities,Investment Banking"
AVERMEDIA TECHNOLOGIES,2417.TW,Taiwan,Technology,"Asset Management,Debt,Equities,Investment Banking"
WACOM,6727.T,Japan,Technology,"Asset Management,Debt,Equities,Investment Banking"
DIEBOLD,$DBD,United States,Technology,"Asset Management,Debt,Equities,Investment Banking"
DIGITAL CHINA ,0861.HK,Hong Kong,Technology,"Asset Management,Debt,Equities,Investment Banking"
FLYTECH TECHNOLOGY,6206.TW,Taiwan,Technology,"Asset Management,Debt,Equities,Investment Banking"
HCL INFOSYSTEMS,HCLI.NS,India,Technology,"Asset Management,Debt,Equities,Investment Banking"
ADLINK TECHNOLOGY,6166.TW,Taiwan,Technology,"Asset Management,Debt,Equities,Investment Banking"
CHUNG HWA PICTURE TUBES,2475.TW,Taiwan,Technology,"Asset Management,Debt,Equities,Investment Banking"
ADVANTECH,2395.TW,Taiwan,Technology,"Asset Management,Debt,Equities,Investment Banking"
SHUTTLE,2405.TW,Taiwan,Technology,"Asset Management,Debt,Equities,Investment Banking"
ICP ELECTRONICS,3022.TW,Taiwan,Technology,"Asset Management,Debt,Equities,Investment Banking"
WEIKENG INDUSTRIAL ,3033.TW,Taiwan,Technology,"Asset Management,Debt,Equities,Investment Banking"
LENOVO ,0992.HK,Hong Kong,Technology,"Asset Management,Debt,Equities,Investment Banking"
STARK TECHNOLOGY,2480.TW,Taiwan,Technology,"Asset Management,Debt,Equities,Investment Banking"
HEWLETT PACKARD,$HPQ,United States,Technology,"Asset Management,Debt,Equities,Investment Banking"
TATUNG,2371.TW,Taiwan,Technology,"Asset Management,Debt,Equities,Investment Banking"
LEXMARK INTERNATIONAL,$LXK,United States,Technology,"Asset Management,Debt,Equities,Investment Banking"
APPLE,$AAPL,United States,Technology,"Asset Management,Debt,Equities,Investment Banking"
WESTERN DIGITAL,$WDC,United States,Technology,"Asset Management,Debt,Equities,Investment Banking"
TECH DATA,$TECD,United States,Technology,"Asset Management,Debt,Equities,Investment Banking"
CLEVO,2362.TW,Taiwan,Technology,"Asset Management,Debt,Equities,Investment Banking"
FUJITSU,6702.T,Japan,Technology,"Asset Management,Debt,Equities,Investment Banking"
SEAGATE TECHNOLOGY,$STX,United States,Technology,"Asset Management,Debt,Equities,Investment Banking"
WISTRON,3231.TW,Taiwan,Technology,"Asset Management,Debt,Equities,Investment Banking"
CMC MAGNETICS,2323.TW,Taiwan,Technology,"Asset Management,Debt,Equities,Investment Banking"
JESS LINK PRODUCTS,6197.TW,Taiwan,Technology,"Asset Management,Debt,Equities,Investment Banking"
LITE ON IT,8008.TW,Taiwan,Technology,"Asset Management,Debt,Equities,Investment Banking"
TPV TECHNOLOGY,0903.HK,Hong Kong,Technology,"Asset Management,Debt,Equities,Investment Banking"
MELCO ,6676.T,Japan,Technology,"Asset Management,Debt,Equities,Investment Banking"
CHENMING MOLD INDUSTRIAL,3013.TW,Taiwan,Technology,"Asset Management,Debt,Equities,Investment Banking"
SEIKO EPSON,6724.T,Japan,Technology,"Asset Management,Debt,Equities,Investment Banking"
CHICONY ELECTRONICS,2385.TW,Taiwan,Technology,"Asset Management,Debt,Equities,Investment Banking"
SUNREX TECHNOLOGY,2387.TW,Taiwan,Technology,"Asset Management,Debt,Equities,Investment Banking"
INFORTREND TECHNOLOGY,2495.TW,Taiwan,Technology,"Asset Management,Debt,Equities,Investment Banking"
CHIMEI INNOLUX,3481.TW,Taiwan,Technology,"Asset Management,Debt,Equities,Investment Banking"
INGENICO,INGC.PA,France,Technology,"Asset Management,Debt,Equities,Investment Banking"
INGRAM MICRO,$IM,United States,Technology,"Asset Management,Debt,Equities,Investment Banking"
PROMISE TECHNOLOGY,3057.TW,Taiwan,Technology,"Asset Management,Debt,Equities,Investment Banking"
JU TENG INTERNATIONAL ,3336.HK,Hong Kong,Technology,"Asset Management,Debt,Equities,Investment Banking"
VERIFONE SYSTEMS,$PAY,United States,Technology,"Asset Management,Debt,Equities,Investment Banking"
NTT DATA,9613.T,Japan,Technology,"Asset Management,Debt,Equities,Investment Banking"
CACI INTERNATIONAL,$CACI,United States,Technology,"Asset Management,Debt,Equities,Investment Banking"
NEC FIELDING,2322.T,Japan,Technology,"Asset Management,Debt,Equities,Investment Banking"
COMPUTER SCIENCES,$CSC,United States,Technology,"Asset Management,Debt,Equities,Investment Banking"
IBM,$IBM,United States,Technology,"Asset Management,Debt,Equities,Investment Banking"
ALTEN,LTEN.PA,France,Technology,"Asset Management,Debt,Equities,Investment Banking"
PERSISTENT SYSTEMS,PERS.NS,India,Technology,"Asset Management,Debt,Equities,Investment Banking"
ATOS,ATOS.PA,France,Technology,"Asset Management,Debt,Equities,Investment Banking"
FINANCIAL TECHNOLOGIES,FITE.NS,India,Technology,"Asset Management,Debt,Equities,Investment Banking"
ALTRAN ,ALTT.PA,France,Technology,"Asset Management,Debt,Equities,Investment Banking"
NET ONE SYSTEMS,7518.T,Japan,Technology,"Asset Management,Debt,Equities,Investment Banking"
TULIP TELECOM,TULP.NS,India,Technology,"Asset Management,Debt,Equities,Investment Banking"
SAIC,$SAI,United States,Technology,"Asset Management,Debt,Equities,Investment Banking"
MINDTREE,MINT.NS,India,Technology,"Asset Management,Debt,Equities,Investment Banking"
SYSTEX,6214.TW,Taiwan,Technology,"Asset Management,Debt,Equities,Investment Banking"
CORE EDUCATION AND TECHNOLOGIES,CORE.NS,India,Technology,"Asset Management,Debt,Equities,Investment Banking"
CAP GEMINI,CAPP.PA,France,Technology,"Asset Management,Debt,Equities,Investment Banking"
GLODYNE TECHNOSERVE,GLDY.NS,India,Technology,"Asset Management,Debt,Equities,Investment Banking"
IRESS,IRE.AX,Australia,Technology,"Asset Management,Debt,Equities,Investment Banking"
CHINASOFT INTERNATIONAL,0354.HK,Hong Kong,Technology,"Asset Management,Debt,Equities,Investment Banking"
HCL TECHNOLOGIES,HCLT.NS,India,Technology,"Asset Management,Debt,Equities,Investment Banking"
REDINGTON INDIA,REDI.BO,India,Technology,"Asset Management,Debt,Equities,Investment Banking"
NIHON UNISYS,8056.T,Japan,Technology,"Asset Management,Debt,Equities,Investment Banking"
NIIT TECHNOLOGIES,NITT.NS,India,Technology,"Asset Management,Debt,Equities,Investment Banking"
ITOCHU TECHNO SOLUTIONS,4739.T,Japan,Technology,"Asset Management,Debt,Equities,Investment Banking"
TATA CONSULTANCY SERVICES,TCS.NS,India,Technology,"Asset Management,Debt,Equities,Investment Banking"
SAPIENT,$SAPE,United States,Technology,"Asset Management,Debt,Equities,Investment Banking"
EQUINIX,$EQIX,United States,Technology,"Asset Management,Debt,Equities,Investment Banking"
HEXAWARE TECHNOLOGIES,HEXT.NS,India,Technology,"Asset Management,Debt,Equities,Investment Banking"
UNISYS,$UIS,United States,Technology,"Asset Management,Debt,Equities,Investment Banking"
